Pillar,Category,Level Description,Level,Impact,DDMType,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Type,CTAButtonTitle,Region,Frequency,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Marketplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Learning,Foundation,Educational foundation,1,1,Development,1010,1011,Device accessibility,Learn about making your devices easier to use,"Learn more about helpful features on your devices, to help you get the best experience you can.","Many devices, including smartphones and tablets come with a range of features which can be adjusted so that your device better meets your needs. ",Read,UK,,,,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Age UK,Charity ,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/device-accessibility/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,Age Uk,Charity,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/downloading-apps/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,Age Uk,Charity ,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/online-terms/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Learning,Foundation,Educational foundation,1,1,Maintenance,1011,,Device accessibility,Make your devices easier to use,Start using helpful features on your devices to start getting the most out of them.,,Sign up,UK,Weekly,Age UK,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/device-accessibility/,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Age UK,Charity ,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/device-accessibility/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Teaching,5,2,Development,1012,1013,Create a course,Learn about creating a course to teach others new skills,"If you have a particular skill that you think would be useful to others, learn more about how to create a course to teach your skills to help benefit others.","Creating a course to teach others offers the opportunity to change other people's lives permanently for the better. By helping others, you can help to develop somebody's subject knowledge and maybe even their mind and personality. Teaching others is an incredibly rewarding thing to do.",Read,All,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Open learn,Company,https://www.open.edu/openlearncreate/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Teachable,Company,https://teachable.com/,Online,N/A,Free,No,None,,,2.9,https://uk.trustpilot.com/review/teachable.com,N/A,Yearly,,Udemy,Company,https://www.udemy.com/join/login-popup/?brand_id=1594187&locale_id=1&next=%2Fsupport&return_to=https%3A%2F%2Fbusiness-support.udemy.com%2Fhc%2Fen-us%2Fsections%2F115001564048-Creating-a-Custom-Course%3Fmatchtype%3Db%26msclkid%3D7b833a73588d1569f0645e5b24ff0462%26utm_campaign%3DBG-DSA_Webindex_la.EN_cc.BE%26utm_content%3Ddeal4584%26utm_medium%3Dudemyads%26utm_source%3Dbing%26utm_term%3D_._ag_1222657343651662_._ad__._kw_udemy_._de_c_._dm__._pl__._ti_dat-2328215871879260%253Aloc-188_._li_132721_._pd__._&timestamp=1680374922,Online,N/A,Free,No,None,,,2.1,https://uk.trustpilot.com/review/udemy.com,N/A,Yearly,,,,,,,,,,,,,,,,
Learning,Foundation,Teaching,5,2,Maintenance,1013,,Build a course,Create a course to teach others new skills,"Sign up to create your own course, help teach others about your skills.",,Sign up,All,Weekly,Open learn,https://www.open.edu/openlearncreate/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Open learn,Company,https://www.open.edu/openlearncreate/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Educational foundation,1,3,Development,1014,1015,IT training ,Learn about computer training courses,"If you don't feel completely comfortable or confident working on a computer, learn more about IT training courses to help you feel at home using your computer.","Over the past few years, technology has adapted and evolved beyond anyone’s expectations. Today, almost everything we do requires some digital input and skills, from the way people communicate with one another, to business transactions.",Read,UK,,,,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Age UK,Charity ,https://www.ageuk.org.uk/services/in-your-area/it-training/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,Personnel today,Content writer,https://www.personneltoday.com/hr/why-it-training-is-important/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Global knowledge,Content writer,https://www.globalknowledge.com/us-en/resources/resource-library/articles/the-10-most-important-it-skills-for-2020/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Learning,Upskill,Educational foundation,1,3,Maintenance,1015,,IT training ,Take a computer training course,Sign up to an IT training course near you to help you feel at home using your computer and build up your technical skills.,,Sign up,UK,Weekly,Age UK,https://www.ageuk.org.uk/services/in-your-area/it-training/,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Age UK,Charity ,https://www.ageuk.org.uk/services/in-your-area/it-training/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Educational foundation,1,3,Development,1016,1016,IT training ,Learn about computer training courses,"If you don't feel completely comfortable, or confident working on a computer, learn more about IT training courses, to help you feel at home using your computer.","Over the past few years, technology has adapted and evolved beyond anyone’s expectations. Today, almost everything we do requires some digital input and skills, from the way people communicate with one another, to business transactions.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Open university,Company,https://www.open.edu/openlearn/digital-computing/introducing-computing-and-it/content-section-0?active-tab=description-tab,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Personnel today,Content writer,https://www.personneltoday.com/hr/why-it-training-is-important/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Global knowledge,Content writer,https://www.globalknowledge.com/us-en/resources/resource-library/articles/the-10-most-important-it-skills-for-2020/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Learning,Upskill,Educational foundation,1,3,Maintenance,1017,,IT training ,Take a computer training course,"Sign up to an IT training course near you, to help you feel at home using your computer, and build up your technical skills.",,Sign up,UK,Weekly,Open university,https://www.open.edu/openlearn/digital-computing/introducing-computing-and-it/content-section-0?active-tab=description-tab,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Open university,Company,https://www.open.edu/openlearn/digital-computing/introducing-computing-and-it/content-section-0?active-tab=description-tab,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Share,Educational foundation,1,3,Development,1018,1019,Sharing knowledge,Learn about sharing your knowledge and skills,"If you have a particular knowledge, and skills that you think would be useful to others, learn more about how to share your skills to help benefit others.","Sharing knowledge with others offers the opportunity to change other people's lives permanently for the better. By helping others, you can help to develop somebody's subject knowledge, maybe even their mind and personality. Sharing your knowledge with others can also be an incredibly rewarding.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Forbes,Company,https://www.forbes.com/sites/work-in-progress/2013/07/25/5-ways-to-share-your-professional-expertise-and-4-reasons-you-should/?sh=1f4d3f4e1cfa,Online,N/A,Free,No,None,,,1.8,https://uk.trustpilot.com/review/www.forbes.com,N/A,Yearly,,Gov loop,Company,https://www.govloop.com/community/blog/pass-9-ways-share-knowledge/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Easy generator,Content writer,https://www.easygenerator.com/en/blog/knowledge-sharing/how-to-share-knowledge-effectively/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Learning,Share,Educational foundation,1,3,Maintenance,1019,,Sharing knowledge,Share your knowledge and skills with others,"Do you have particular knowledge or skills that you think would be useful to others? From art to zoology, share some of your time to help teach others a skill that you have.",,Sign up,UK,Weekly,Gov loop,https://www.govloop.com/community/blog/pass-9-ways-share-knowledge/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Gov loop,Company,https://www.govloop.com/community/blog/pass-9-ways-share-knowledge/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
