Pillar,Category,Level Description,Level,Impact,DDMType,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Text,CTAButtonTitle,Region,Frequency,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Mktplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Health,Mind,Diagnostic,3,1,Development,110,111,Self-care,The importance of self-care,"With busy modern lives we often tend to put ourselves last however, self-care is crucial in maintaining functional health. Read more about why it's important to get some time to take care of yourself.","Start engaging in self-care, to help you to relieve the pressures of everyday life and reset yourself to get back to a healthy point where productivity is once again maximised.",Read,UK,,,,All,Female,All,https://pubmed.ncbi.nlm.nih.gov/1565600/,,The couples centre,Content writer,https://www.thecouplescenter.org/why-self-care-is-so-important-for-longevity-and-wellness/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Simple lion heart life,Content writer,https://simplelionheartlife.com/how-to-slow-down/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,me time therapy,Content writer,https://www.me-time-therapy.co.uk/me-time-activities-to-try/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,,Maintenance,111,,Self-care in a box,Sign up for a self-care subscription box,Take some time for yourself with a self-care subscription box to enjoy a well-deserved pamper day.,,Sign me up,UK,Monthly,Baskets galore,https://basketsgalore.co.uk/me-time,All,Female,All,https://pubmed.ncbi.nlm.nih.gov/1565600/,,Baskets galore,Company,https://basketsgalore.co.uk/me-time,Online,N/A,Paid,??,None,,,2.9,https://uk.trustpilot.com/review/basketsgalore.co.uk,N/A,Six monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,1,Development,112,113,Self-care,The importance of self-care,"With busy modern lives we often tend to put ourselves last however, self-care is crucial in maintaining functional health. Read more about why it's important to get some time to take care of yourself.","Start engaging in self-care, to help you to relieve the pressures of everyday life and reset yourself to get back to a healthy point where productivity is once again maximised.",Read,UK,,,,All,All,All,https://pubmed.ncbi.nlm.nih.gov/1565600/,,The couples centre,Content writer,https://www.thecouplescenter.org/why-self-care-is-so-important-for-longevity-and-wellness/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Six monthly,,Simple lion heart life,Content writer,https://simplelionheartlife.com/how-to-slow-down/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,me time therapy,Content writer,https://www.me-time-therapy.co.uk/me-time-activities-to-try/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,,Maintenance,113,,Self-care in a box,Sign up for a self-care subscription box,Take some time for yourself with  a self-care subscription box to enjoy a well-deserved pamper day.,,Sign me up,UK,Daily,Blurt it out,https://www.blurtitout.org/buddybox/,All,All,All,https://pubmed.ncbi.nlm.nih.gov/1565600/,,Blurt it out,Company,https://www.blurtitout.org/buddybox/,Online,N/A,Paid,??,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,1,Development,114,115,Healthy ageing habits,Read about research backed healthy habits for a longer life,Learn more about research backed healthy daily habits to help you live a longer life.,Start improving your life by adding these small healthy ageing habits to improve your body and mind,Visit site,All,,,,All,All,All,https://journals.sagepub.com/doi/abs/10.1177/1559827618785554,,Everyday health,Content writer,https://www.everydayhealth.com/longevity/everyday-health-and-wellness-habits-linked-with-a-longer-life/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/everydayhealth.com,N/A,Six monthly,,Vagaro,Company,https://sales.vagaro.co.uk/?utm_source=bing&utm_medium=cpc&utm_campaign=BOFU-UK-Non-Brand&utm_content=appointment-app&utm_term=appointment%20app-p&msclkid=ea92d7dd203513f07c12b427b7e05941,Online,N/A,Paid,??,None,,,N/A,N/A,N/A,Quarterly,,Family wall,Company,https://www.familywall.com/,Online,N/A,Free,??,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,,Maintenance,115,,Healthy ageing habits,Schedule healthy ageing habits into your life,"The best way to build healthy habits into your life is by scheduling, improve your life by adding healthy habits into your calendar. Do it at least 21 times and it’ll become second nature.",,Sign me up,All,Daily,Everyday health,https://www.everydayhealth.com/longevity/everyday-health-and-wellness-habits-linked-with-a-longer-life/,All,All,All,https://journals.sagepub.com/doi/abs/10.1177/1559827618785554,,Everyday health,Content writer,https://www.everydayhealth.com/longevity/everyday-health-and-wellness-habits-linked-with-a-longer-life/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/everydayhealth.com,N/A,Six monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,2,Development,116,117,Self-affirmations,Benefits of using self-affirmations,There are many benefits of using self-affirmations including reducing health deteriorating stress and anxiety. Learn about the benefits of using self-affirmations in your life .,"Start working on improving your stress, anxiety, and self-worth with the use of self-affirmations to get all the benefits that come with it.",Read,All,,,,All,All,All,http://depts.washington.edu/anesth/edi/_resources-docs/Cohen_annurev-psych-010213-115137.pdf,,Happier human,Content writer,https://www.happierhuman.com/benefits-affirmations/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/happierhuman.com,N/A,Quarterly,,refined by age,Content writer,https://refinedbyage.com/2019/12/17/7-affirmations-for-positive-aging/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Get help,Content writer,https://www.betterup.com/blog/positive-affirmations,Online,N/A,Free,No,None,,,2.9,https://uk.trustpilot.com/review/betterup.com,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,,Maintenance,117,,Use self-affirmations,Improve your wellbeing with self-affirmations,Start adding self-affirmations into your day to help you feel better about yourself and life. Repeat 21 times and it’ll be a positive habit for life.,,Sign me up,All,Daily,Life hack,https://www.lifehack.org/863537/self-affirmation,All,All,All,http://depts.washington.edu/anesth/edi/_resources-docs/Cohen_annurev-psych-010213-115137.pdf,,Life hack,Content writer,https://www.lifehack.org/863537/self-affirmation,Online,N/A,Free,No,None,,,3.1,https://uk.trustpilot.com/review/lifehack.org,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,2,Development,118,119,Learn about memory,Understanding and improving your memory,This podcast explains the different types of memory and how to improve your learning and memory abilities.,"Brain training turns inactive brain cells into healthy, active ones. The more you use your brain, the better your mental functions become. So get strengthening your brain daily to start improving your cognitive capabilities.",Listen,All,,,,All,All,All,https://psycnet.apa.org/record/2013-30003-001,,hubermanlab,Company,https://hubermanlab.com/understand-and-improve-memory-using-science-based-tools/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/hubermanlab.com,N/A,Six monthly,,Brain gymmer,Company,https://www.braingymmer.com/en/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,six m,,A Cognitive connection,Content writer,https://acognitiveconnection.com/why-brain-training-is-important/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,,Maintenance,119,,Improve your memory,Practice brain training with daily exercises,Improve your cognitive functioning by doing brain puzzles daily for the next month to help form a brain boosting  habit.,,Sign me up,All,Daily,Verywell,https://www.verywellmind.com/brain-exercises-to-strengthen-your-mind-2795039,All,All,All,https://psycnet.apa.org/record/2013-30003-001,,Verywell,Content writer,https://www.verywellmind.com/brain-exercises-to-strengthen-your-mind-2795039,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Six monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
